,PLATFRMID,NAME,STATUS,OPERNAME,COMMODITY,LATITUDE,LONGITUDE,INSTALL,REMOVAL,WATERDEPTH,DISTLAND,REGION,age,kmeans_label,ahc_label,dbscan_label
1838,GOM01922,A,REMOVED,SEAGULL ENERGY E&P INC.,NONE,26.8729349949,-96.7722777878,1991-01-01 00:00:00+00:00,1998/07/28 00:00:00+00,240,72,GULF OF MEXICO,32.89253935660506,0,1,0
1839,GOM01923,2,REMOVED,APACHE CORP.,NONE,28.362999114,-96.1022537535,1991-01-01 00:00:00+00:00,2014/08/14 00:00:00+00,60,11,GULF OF MEXICO,32.89253935660506,0,1,0
1840,GOM01924,B,REMOVED,"SAMSON CONTOUR ENERGY E&P, LLC",NONE,28.1288059116,-96.2523047911,1991-11-12 00:00:00+00:00,2005/09/03 00:00:00+00,92,21,GULF OF MEXICO,32.030116358658454,0,1,0
1841,GOM01925,A,REMOVED,WALTER OIL & GAS CORP.,NONE,26.7106601339,-96.9265981799,1991-01-01 00:00:00+00:00,2004/07/26 00:00:00+00,142,24,GULF OF MEXICO,32.89253935660506,0,1,0
1842,GOM01926,A,REMOVED,"MERIT ENERGY CO., LLC",NONE,27.6076963946,-96.6226253678,1992-01-01 00:00:00+00:00,2010/07/19 00:00:00+00,174,28,GULF OF MEXICO,31.89322381930185,0,1,0
1843,GOM01927,B,IN SERVICE,APACHE CORP.,UNKNOWN,27.9188850887,-96.4173150986,1992-10-04 00:00:00+00:00,,124,24,GULF OF MEXICO,31.134839151266256,0,1,0
1844,GOM01928,A,REMOVED,APACHE CORP.,NONE,27.623968023,-96.7394890567,1992-11-12 00:00:00+00:00,1997/12/16 00:00:00+00,130,23,GULF OF MEXICO,31.028062970568104,0,1,0
1845,GOM01929,3,REMOVED,MURPHY EXPLORATION & PRODUCTION CO.,NONE,28.206532933,-96.202389028,1993-04-01 00:00:00+00:00,1998/07/20 00:00:00+00,80,13,GULF OF MEXICO,30.64476386036961,0,1,0
1846,GOM01930,D,REMOVED,"SAMSON CONTOUR ENERGY E&P, LLC",NONE,28.1034113156,-96.2558473302,1993-07-12 00:00:00+00:00,2005/05/30 00:00:00+00,94,17,GULF OF MEXICO,30.365503080082135,0,1,0
1847,GOM01931,B,REMOVED,"EOG RESOURCES, INC.",NONE,27.6571161817,-96.5791810097,1993-10-29 00:00:00+00:00,2012/09/05 00:00:00+00,184,31,GULF OF MEXICO,30.067077344284737,0,1,0
1848,GOM01932,A,REMOVED,APACHE CORP.,NONE,27.577475132,-96.7082445207,1993-12-06 00:00:00+00:00,2010/10/09 00:00:00+00,151,26,GULF OF MEXICO,29.963039014373717,0,1,0
1849,GOM01933,D,REMOVED,GOM SHELF LLC,NONE,28.0551304357,-96.2709419093,1993-10-03 00:00:00+00:00,2005/09/19 00:00:00+00,109,19,GULF OF MEXICO,30.138261464750173,0,1,0
1850,GOM01934,1,REMOVED,BP AMERICA PRODUCTION CO.,NONE,28.0721204608,-96.3817587543,1994-01-01 00:00:00+00:00,2001/10/09 00:00:00+00,70,18,GULF OF MEXICO,29.89185489390828,0,1,0
1851,GOM01935,1,REMOVED,"VASTAR RESOURCES, INC.",NONE,27.5836872212,-96.8155891407,1994-01-01 00:00:00+00:00,1998/05/21 00:00:00+00,118,20,GULF OF MEXICO,29.89185489390828,0,1,0
1852,GOM01936,A,REMOVED,MCMORAN OIL & GAS LLC,NONE,27.6405956383,-96.6641431737,1994-01-01 00:00:00+00:00,2013/09/03 00:00:00+00,148,26,GULF OF MEXICO,29.89185489390828,0,1,0
1853,GOM01937,A,REMOVED,"MERIT ENERGY CO., LLC",NONE,27.3381500899,-97.1135315811,1994-06-30 00:00:00+00:00,2012/07/29 00:00:00+00,88,12,GULF OF MEXICO,29.399041752224505,0,1,0
1854,GOM01938,A,REMOVED,MURPHY EXPLORATION & PRODUCTION CO.,NONE,27.8700097637,-96.3993698414,1994-06-21 00:00:00+00:00,2000/08/18 00:00:00+00,143,27,GULF OF MEXICO,29.423682409308693,0,1,0
1855,GOM01939,D,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,28.1024368103,-96.3701263603,1995-01-01 00:00:00+00:00,,86,14,GULF OF MEXICO,28.892539356605067,0,1,0
1856,GOM01940,A (REMOVED),REMOVED,"EOG RESOURCES, INC.",NONE,27.6246267042,-96.6214196521,1994-09-23 00:00:00+00:00,1997/07/17 00:00:00+00,167,28,GULF OF MEXICO,29.166324435318277,0,1,0
1857,GOM01941,A,REMOVED,"EOG RESOURCES, INC.",NONE,27.7404088076,-96.5233062897,1994-11-18 00:00:00+00:00,2012/08/31 00:00:00+00,154,29,GULF OF MEXICO,29.013004791238878,0,1,0
1858,GOM01942,A,REMOVED,ATP OIL & GAS CORP.,NONE,27.8716037299,-96.3908088297,1994-10-22 00:00:00+00:00,2011/04/01 00:00:00+00,148,27,GULF OF MEXICO,29.086926762491444,0,1,0
1859,GOM01943,F,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,28.0897837691,-96.3987236297,1995-10-15 00:00:00+00:00,,89,12,GULF OF MEXICO,28.10677618069815,0,1,0
